
lb_winLauncher_allScenes	所有场景
lb_winMaintain_msgBox_cantDelUsedByRecipe_content	不能删除，正在被配方[{0}]使用。
lb_winMaintain_msgBox_confirmToDeleteThing_content	删除物品[{0}],{1}继续吗？！
lb_winMaintain_msgBox_confirmToDeleteChannel_content	删除通道[{0}],{1}继续吗？！
lb_winMaintain_msgBox_channelMustHasAName_title	停止
lb_winMaintain_msgBox_channelMustHasAName_content	通道必须有一个名字。
lb_winMaintain_msgBox_channelMustHasSpeed_title	停止
lb_winMaintain_msgBox_channelMustHasSpeed_content	速度必须是数字。
lb_winMaintain_msgBox_confirmToDeleteRecipe_content	删除配方[{0}],{1}继续吗？！
lb_winMaintain_msgBox_recipeMustHasAName_title	停止
lb_winMaintain_msgBox_recipeMustHasAName_content	配方必须有个名称。
lb_winMaintain_msgBox_periodMustGreatorThanZero_title	停止
lb_winMaintain_msgBox_periodMustGreatorThanZero_content	加工时间不能为零。

lb_winMaintain_channels	通道
lb_winMaintain_content	内容
lb_winMaintain_speed	速度
lb_winMaintain_add	添加…
lb_winMaintain_dg_counts	计数
lb_winMaintain_dg_ingredients	配料
lb_winMaintain_ingred	配料
lb_winMaintain_processor	处理器
lb_winMaintain_infoDoubleClickIconToChange	* 双击图标编辑；
lb_winMaintain_periodSec	用时 秒
lb_winMaintain_accessories	插件
lb_winMaintain_inputs	输入
lb_winMaintain_outputs	输出

lb_winMaintain_recipes	配方
